Investigation,,,,,,
 Item ID , Item Name ,  OP , Day Care , Economy , Double ," Single/
ICU "
370,CMV-IHC  (C),2400,2400,2400,2400,2400
371,Cytomegalovirus - CMV (IHC) - (C),2200,2200,2200,2200,2200
372,Dual CORE  Unlimited Markers,10000,10000,10000,10000,10000
373,Dual Core (upto 7 markers) - (C),6500,6500,6500,6500,6500
374,FISH for BCR / ABL,4100,,,,
375,FISH for HER2 / NEU,10000,,,,
376,Frozen Section,3000,,,,
377,Hematopoietic Neoplasm Panel 2 - (C),1785,,,,
378,HepPar1 - Immunohistochemistry - (C),2400,,,,
379,Histo Biopsy - Large,2400,2400,2400,2400,2400
380,Histo Biopsy - Medium,1800,1800,1800,1800,1800
381,Histo Biopsy - Small,1200,1200,1200,1200,1200
382,Histopathology - Second Opinion ( Upto 2 Blocks ),800,,,,
383,Histopathology - Special Stain - Amyloid ( Congo Red ) - (C),650,,,,
384,Histopathology Kidney Biopsy - LM - ( L ),2100,,,,
385,Histopathology Native Kidney Biopsy Panel (LM+IF),5000,,,,
386,Histopathology Native Kidney Biopsy Panel (LM+IF+TEM),13000,,,,
387,HPE ER/PR & Her-2/ Neu,3150,3150,3150,3150,3150
388,Immunohistochemistry - CD117/c-Kit,2400,,,,
389,Immunohistochemistry - CK7,2400,,,,
390,Immunohistochemistry (IHC) Ki67,2400,,,,
391,"Immunohistochemistry Breast Cancer ( ER , PR , HER2/neu , Ki67 ) - (C)",4250,,,,
392,"Immunohistochemistry Breast Cancer (ER, PR and Her2neu)",3150,,,,
393,Immunohistochemistry-S100,2400,,,,
394,Karyotyping for Hematological Malignancies (C),4000,,,,
395,Liquicore 12 Gene Panel ( Liquid Biopsy ) By NGS - (C),35000,,,,
396,Liquicore 52 Gene Panel ( Liquid Biopsy ) By NGS - (C),48000,,,,
397,Liquicore Lung Panel ( Liquid Biopsy ) by NGS - (C),35000,,,,
398,Liquid Biopsy,35000,,,,
399,Neurovirus Panel Qualitative PCR (C),7800,,,,
400,One Slide and One Block for Review,450,,,,
401,p16 by IHC Immunohistochemistry,3650,,,,
402,P53 by IHC,2400,,,,
403,PD - L1 ( SP263 Ventana) - Immunohistochemistry - (C),6000,,,,
404,pulmoCORE 12 gene by NGS (paraffin embedded tissue block) - (C),18000,,,,
405,pulmoCORE 12 gene panel - 2 - (C),22000,,,,
406,Radical Biopsy,4000,,,,
407,SAT-B2 IHC (C),2200,2200,2200,2200,2200
408,Skin Biopsy - DIF,2200,,,,
409,Skin Punch Biopsy,1500,,,,
410,Slide / Block Review ( Upto 6 Blocks / Slides ) ( Core ),3300,,,,
411,Slide and Block Issue,200,,,,
412,Slide And Block Issue ( Up to 3 ),400,,,,
413,Slide And Block Issue ( Up to 6 ),500,,,,
414,Slide/Block Review ( Upto 10 Blocks / Slides ) - (C),5500,,,,
415,"(1,3)-Beta-D-Glucan",11500,,,,
416,ACETYL CHOLINE RECEPTOR ANTIBODY,5500,5500,5500,5500,5500
417,ALLERGIC PROFILE - NON VEGETARIAN FOOD,6000,6000,6000,6000,6000
418,ALLERGIC PROFILE - VEGETARIAN FOOD,8000,8000,8000,8000,8000
419,Allergy Comprehensive Panel,6600,,,,
420,ALPHA 1 ANTI TRYPSIN,2400,2400,2400,2400,2400
421,"ALPHA FETO PROTEIN ( AFP), Serum",770,770,770,770,770
422,AML / ALL MRD By Flow Cytometry - (C),14000,,,,
423,ANA Profile LIA,3800,,,,
